Neighborhood,Latitude,Longitude
Neighborhood1,31.251737302205093,121.50750045302838
Neighborhood2,31.20683339684156,121.48193018159992
Neighborhood3,31.279013358267456,121.50361941850007
Neighborhood4,31.265727807064124,121.51042391683058
Neighborhood5,31.263231399396325,121.49370656186845
Neighborhood6,31.222836986641404,121.4709065282019
Neighborhood7,31.2614209681179,121.5171999662915
Neighborhood8,31.215619015094482,121.48425237606762
Neighborhood9,31.276480359321912,121.50947566584837
Neighborhood10,31.244910681426237,121.469437774615
Neighborhood11,31.282076444824124,121.51191644518401
Neighborhood12,31.281419083918674,121.51972517271396
Neighborhood13,31.251246922802274,121.48183104802843
Neighborhood14,31.215933089794504,121.49774172009748
Neighborhood15,31.225814418123473,121.49858597987972
Neighborhood16,31.230099658791612,121.49510039275862
Neighborhood17,31.231512318233236,121.47955228133193
Neighborhood18,31.282796340861303,121.51213153942307
Neighborhood19,31.20947034325914,121.49135102608663
Neighborhood20,31.259479688451023,121.49918315447721
Neighborhood21,31.265505398042215,121.52053355409731
Neighborhood22,31.21237253824855,121.50544415107514
Neighborhood23,31.21234777069818,121.49408003258254
Neighborhood24,31.28056350711019,121.50597713839069
Neighborhood25,31.25352310895438,121.5023214657306
Neighborhood26,31.252477494066994,121.52167544077787
Neighborhood27,31.251437522270937,121.51095194525527
Neighborhood28,31.228485788580844,121.46793173119164
Neighborhood29,31.28367823137565,121.51040910270865
Neighborhood30,31.22795028661178,121.47127568976993
Neighborhood31,31.216619233681552,121.47822313950186
Neighborhood32,31.262783959741302,121.49279802649669
Neighborhood33,31.253341265362447,121.49256035742972
Neighborhood34,31.219745724667614,121.48177987361603
Neighborhood35,31.214506186729512,121.5045539173039
Neighborhood36,31.218930451612035,121.48837139244844
Neighborhood37,31.21553397205784,121.49495386781415
Neighborhood38,31.237982906041605,121.48503299925987
Neighborhood39,31.213527410468707,121.49825600315488
Neighborhood40,31.225842343389637,121.49520241281648
Neighborhood41,31.245275821307494,121.47647712264703
Neighborhood42,31.250840971814217,121.49883354542129
Neighborhood43,31.275438894527642,121.52426386778677
Neighborhood44,31.273958912809018,121.50073525061931
Neighborhood45,31.218024982929613,121.53164995596283
Neighborhood46,31.23174168459103,121.53874681270877
Neighborhood47,31.222461722062754,121.55034976435378
Neighborhood48,31.205840576326324,121.55202826823091
Neighborhood49,31.20323579010984,121.51415374769553
Neighborhood50,31.24062313603765,121.54155855194088
Neighborhood51,31.23903836667329,121.52548007586435
Neighborhood52,31.237889068798854,121.54807564447123
Neighborhood53,31.201926050549808,121.52844209607977
Neighborhood54,31.208813075756648,121.51638719600588
Neighborhood55,31.24261302773818,121.51751093119647
Neighborhood56,31.224699049718367,121.52510304836548
Neighborhood57,31.203815539332332,121.54205756890202
Neighborhood58,31.247449070610212,121.54064653979742
Neighborhood59,31.219424221945005,121.52831394562958
Neighborhood60,31.20224765855506,121.54531363640935
Neighborhood61,31.20670854641057,121.5407320673288
Neighborhood62,31.25100157726954,121.5429940410765
Neighborhood63,31.205397929159595,121.54279904908891
Neighborhood64,31.250584271459385,121.5505043463289
Neighborhood65,31.231430381968252,121.5140584026627
Neighborhood66,31.230254052919538,121.54806699281419
Neighborhood67,31.22242108480671,121.54106953168287
Neighborhood68,31.19801710590216,121.54031493106757
Neighborhood69,31.215510942338014,121.55780637819255
Neighborhood70,31.209012456638682,121.52936102444727
Neighborhood71,31.215285320889556,121.53017301957101
Neighborhood72,31.23246659561785,121.5025519068692
Neighborhood73,31.241180585415872,121.50366024731889
Neighborhood74,31.24099020276624,121.49761977715794
Neighborhood75,31.225015778921,121.55844247383055
Neighborhood76,31.21097599032522,121.55081381414075
Neighborhood77,31.220938978226226,121.55300429671608
Neighborhood78,31.218005677110767,121.52682063940883
Neighborhood79,31.217802215696576,121.56251347634142
Neighborhood80,31.20662425023383,121.54755225314375
Neighborhood81,31.211576387844378,121.56122045645455
Neighborhood82,31.21890246149188,121.51186672246588
Neighborhood83,31.204909776274818,121.52321456042839
Neighborhood84,31.204721227672103,121.53934260490017
Neighborhood85,31.200679424482434,121.54976714979918
Neighborhood86,31.236656705758392,121.5307473722423
Neighborhood87,31.21857113815872,121.55506916550276
Neighborhood88,31.206512646141775,121.5646344644147
